product_name, rating, specs
Vivo S1 (Diamond Black| 128 GB),4.5,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.21 cm (6.38 inch) Full HD+ Display16MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium Polymer BatteryHelio P65 (MT6768) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Redmi K20 Pro (Pearl White| 128 GB),4.5,6 GB RAM | 128 GB ROM |16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A50 (Black| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display25MP + 5MP + 8MP | 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A30 (Blue| 64 GB),4.4,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display16MP + 5MP | 16MP Front Camera4000 mAh Lithium-ion BatteryExynos 7904 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Nokia 7.1 (Blue| 64 GB),4.2,4 GB RAM | 64 GB ROM |14.83 cm (5.84 inch) Full HD+ Display12MP + 5MP | 8MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Processor1 year manufacturer warranty for device and 6 months for accessories
Redmi K20 (Glacier Blue| 128 GB),4.5,6 GB RAM | 128 GB ROM |16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 730 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Honor 20 (Midnight Black| 128 GB),4.4,6 GB RAM | 128 GB ROM |15.9 cm (6.26 inch) Display48MP + 2MP + 16MP | 32MP Front Camera3750 mAh BatteryHiSilicon Kirin 980 ProcessorBrand Warranty of 1 Year Available for Mobile, 6 Months for Battery, 3 Months for Adapter and Data Cable
Honor 20 (Sapphire Blue| 128 GB),4.4,6 GB RAM | 128 GB ROM |15.9 cm (6.26 inch) Display48MP + 2MP + 16MP | 32MP Front Camera3750 mAh BatteryHiSilicon Kirin 980 ProcessorBrand Warranty of 1 Year Available for Mobile, 6 Months for Battery, 3 Months for Adapter and Data Cable
Vivo V9 Youth (Black| 32 GB),4.4,4 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display16MP + 2MP | 16MP Front Camera3260 mAh Li-ion BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo Y95 (Starry Black| 64 GB),4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 20MP Front Camera4030 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A50 (White| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display25MP + 5MP + 8MP | 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
OPPO Ravichandran Ashwin Limited Edition (Black| 64 GB),4.6,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.82 cm (6.23 inch) Full HD+ Display16MP Rear Camera | 25MP Front Camera3400 mAh BatteryMTK P60 Octa Core 2.0 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Redmi K20 (Carbon Black| 128 GB),4.5,6 GB RAM | 128 GB ROM |16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 730 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Redmi K20 (Flame Red| 128 GB),4.5,6 GB RAM | 128 GB ROM |16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 730 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Gionee A1 (Grey| 64 GB),4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera | 16MP Front Camera4010 mAh Li-Ion Polymer BatteryMediaTek MT6755 Helio P10 Octa Core 2.0GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Redmi K20 (Pearl White| 128 GB),4.5,6 GB RAM | 128 GB ROM |16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 730 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
